"Site.Name","Date","PM2.5","Ozone"
"Mendenhall School",2018-07-19,26,48
"Millbrook School",2018-07-19,35,64
"Pitt Agri. Center",2018-07-19,38.5,50
"West Johnston Co.",2018-07-19,34,64
"Bryson City",2018-07-20,44,40
"Castle Hayne",2018-07-20,12,33
"Clemmons Middle",2018-07-20,47,67
"Durham Armory",2018-07-20,42.5,44
"Frying Pan Mountain",2018-07-20,NA,48
"Garinger High School",2018-07-20,42,45
"Hattie Avenue",2018-07-20,37,80
"Leggett",2018-07-20,32,38
"Linville Falls",2018-07-20,NA,45
"Mendenhall School",2018-07-20,36,54
"Millbrook School",2018-07-20,37,41
"Pitt Agri. Center",2018-07-20,32,38
"West Johnston Co.",2018-07-20,31,39
"Bryson City",2018-07-21,22,44
"Castle Hayne",2018-07-21,5,30
"Clemmons Middle",2018-07-21,40,61
"Durham Armory",2018-07-21,35,38
"Frying Pan Mountain",2018-07-21,NA,50
"Garinger High School",2018-07-21,31,50
"Hattie Avenue",2018-07-21,32,64
"Leggett",2018-07-21,13,26
"Linville Falls",2018-07-21,NA,41
"Mendenhall School",2018-07-21,25,46
"Millbrook School",2018-07-21,24.5,40
"Pitt Agri. Center",2018-07-21,17,30
"West Johnston Co.",2018-07-21,27,38
"Bryson City",2018-07-22,26,37
"Castle Hayne",2018-07-22,30,43
"Clemmons Middle",2018-07-22,31,41
"Durham Armory",2018-07-22,32,42
"Frying Pan Mountain",2018-07-22,13,35
"Garinger High School",2018-07-22,20.5,47
"Hattie Avenue",2018-07-22,24.5,38
"Leggett",2018-07-22,20,37
"Linville Falls",2018-07-22,18,31
"Mendenhall School",2018-07-22,20,38
"Millbrook School",2018-07-22,25.3333333333333,44
"Pitt Agri. Center",2018-07-22,39.5,39
"West Johnston Co.",2018-07-22,32,42
"Bryson City",2018-07-23,20,36
"Castle Hayne",2018-07-23,9,46
"Clemmons Middle",2018-07-23,38,40
"Durham Armory",2018-07-23,43,45
"Frying Pan Mountain",2018-07-23,NA,40
"Garinger High School",2018-07-23,25,42
"Hattie Avenue",2018-07-23,27,40
"Leggett",2018-07-23,22,40
"Linville Falls",2018-07-23,NA,37
"Mendenhall School",2018-07-23,29,37
"Millbrook School",2018-07-23,29.5,44
"Pitt Agri. Center",2018-07-23,26,41
"West Johnston Co.",2018-07-23,28,43
"Bryson City",2018-07-24,21,31
"Castle Hayne",2018-07-24,5,48
"Clemmons Middle",2018-07-24,26,45
"Durham Armory",2018-07-24,29,42
"Frying Pan Mountain",2018-07-24,NA,54
"Garinger High School",2018-07-24,19,44
"Hattie Avenue",2018-07-24,23,45
"Leggett",2018-07-24,11,34
"Linville Falls",2018-07-24,NA,37
"Mendenhall School",2018-07-24,19,43
"Millbrook School",2018-07-24,21.5,40
"Pitt Agri. Center",2018-07-24,12,36
"West Johnston Co.",2018-07-24,21,37
"Bryson City",2018-07-25,25,35
"Castle Hayne",2018-07-25,0,40
"Clemmons Middle",2018-07-25,28,38
"Durham Armory",2018-07-25,33,39
"Frying Pan Mountain",2018-07-25,NA,43
"Garinger High School",2018-07-25,27.5,42
"Hattie Avenue",2018-07-25,23,41
"Leggett",2018-07-25,13,37
"Linville Falls",2018-07-25,21,24
"Mendenhall School",2018-07-25,26,41
"Millbrook School",2018-07-25,27.3333333333333,35
"Pitt Agri. Center",2018-07-25,15,39
"West Johnston Co.",2018-07-25,24,36
"Bryson City",2018-07-26,38,40
"Castle Hayne",2018-07-26,18,35
"Clemmons Middle",2018-07-26,33,45
"Durham Armory",2018-07-26,38,49
"Frying Pan Mountain",2018-07-26,NA,77
"Garinger High School",2018-07-26,30,64
"Hattie Avenue",2018-07-26,26,45
"Leggett",2018-07-26,30,42
"Linville Falls",2018-07-26,NA,29
"Mendenhall School",2018-07-26,24,50
"Millbrook School",2018-07-26,41,46
"Pitt Agri. Center",2018-07-26,31,45
"West Johnston Co.",2018-07-26,36,41
"Bryson City",2018-07-27,44,42
"Castle Hayne",2018-07-27,13,35
"Clemmons Middle",2018-07-27,50,71
"Durham Armory",2018-07-27,52,47
"Frying Pan Mountain",2018-07-27,NA,44
"Garinger High School",2018-07-27,35,64
"Hattie Avenue",2018-07-27,41,71
"Leggett",2018-07-27,45,34
"Linville Falls",2018-07-27,NA,40
"Mendenhall School",2018-07-27,36,84
"Millbrook School",2018-07-27,48,44
"Pitt Agri. Center",2018-07-27,38,33
"West Johnston Co.",2018-07-27,45,38
"Bryson City",2018-07-28,40,40
"Castle Hayne",2018-07-28,12,36
"Clemmons Middle",2018-07-28,43,44
"Durham Armory",2018-07-28,48.5,42
"Frying Pan Mountain",2018-07-28,25,44
"Garinger High School",2018-07-28,48.5,51
"Hattie Avenue",2018-07-28,36,44
"Leggett",2018-07-28,35,36
"Linville Falls",2018-07-28,34,39
"Mendenhall School",2018-07-28,34,45
"Millbrook School",2018-07-28,45.5,43
"Pitt Agri. Center",2018-07-28,29.5,37
"West Johnston Co.",2018-07-28,44,41
"Bryson City",2018-07-29,36,40
"Castle Hayne",2018-07-29,11,31
"Clemmons Middle",2018-07-29,42,44
"Durham Armory",2018-07-29,43,37
"Frying Pan Mountain",2018-07-29,NA,38
"Garinger High School",2018-07-29,33,45
"Hattie Avenue",2018-07-29,34,44
"Leggett",2018-07-29,NA,35
"Linville Falls",2018-07-29,NA,39
"Mendenhall School",2018-07-29,35,38
"Millbrook School",2018-07-29,42,37
"Pitt Agri. Center",2018-07-29,30,34
"West Johnston Co.",2018-07-29,34,37
"Bryson City",2018-07-30,40,41
"Castle Hayne",2018-07-30,12,20
"Clemmons Middle",2018-07-30,26,44
"Durham Armory",2018-07-30,26,31
"Frying Pan Mountain",2018-07-30,NA,34
"Garinger High School",2018-07-30,22,44
"Hattie Avenue",2018-07-30,20,43
"Leggett",2018-07-30,NA,22
"Linville Falls",2018-07-30,NA,37
"Mendenhall School",2018-07-30,19,36
"Millbrook School",2018-07-30,24,29
"Pitt Agri. Center",2018-07-30,20,22
"West Johnston Co.",2018-07-30,24,21
"Bryson City",2018-07-31,27,31
"Castle Hayne",2018-07-31,10,30
"Clemmons Middle",2018-07-31,31,31
"Durham Armory",2018-07-31,35.5,30
"Frying Pan Mountain",2018-07-31,23,46
"Garinger High School",2018-07-31,31,29
"Hattie Avenue",2018-07-31,28.5,29
"Leggett",2018-07-31,NA,25
"Linville Falls",2018-07-31,25,32
"Mendenhall School",2018-07-31,24,29
"Millbrook School",2018-07-31,30.5,31
"Pitt Agri. Center",2018-07-31,26.5,27
"West Johnston Co.",2018-07-31,28,26
"Bryson City",2018-08-01,25,31
"Castle Hayne",2018-08-01,11,17
"Clemmons Middle",2018-08-01,23,35
"Durham Armory",2018-08-01,34,30
"Frying Pan Mountain",2018-08-01,NA,32
"Garinger High School",2018-08-01,15,25
"Hattie Avenue",2018-08-01,21,34
"Leggett",2018-08-01,21,21
"Linville Falls",2018-08-01,NA,31
"Mendenhall School",2018-08-01,15,34
"Millbrook School",2018-08-01,31,30
"Pitt Agri. Center",2018-08-01,29,19
"West Johnston Co.",2018-08-01,27,22
"Bryson City",2018-08-02,7,23
"Castle Hayne",2018-08-02,21,16
"Clemmons Middle",2018-08-02,18,31
"Durham Armory",2018-08-02,28,24
"Frying Pan Mountain",2018-08-02,NA,29
"Garinger High School",2018-08-02,15,26
"Hattie Avenue",2018-08-02,18,30
"Leggett",2018-08-02,16,15
"Linville Falls",2018-08-02,NA,27
"Mendenhall School",2018-08-02,10,26
"Millbrook School",2018-08-02,35,20
"Pitt Agri. Center",2018-08-02,20,16
"West Johnston Co.",2018-08-02,24,17
"Bryson City",2018-08-03,10,25
"Castle Hayne",2018-08-03,0,20
"Clemmons Middle",2018-08-03,17,25
"Durham Armory",2018-08-03,19,19
"Frying Pan Mountain",2018-08-03,2,38
"Garinger High School",2018-08-03,13.5,22
"Hattie Avenue",2018-08-03,15,24
"Leggett",2018-08-03,10,17
"Linville Falls",2018-08-03,5,20
"Mendenhall School",2018-08-03,8,25
"Millbrook School",2018-08-03,17.5,19
"Pitt Agri. Center",2018-08-03,11.5,21
"West Johnston Co.",2018-08-03,17,17
"Bryson City",2018-08-04,15,27
"Castle Hayne",2018-08-04,0,19
"Clemmons Middle",2018-08-04,22,29
"Durham Armory",2018-08-04,32,26
"Frying Pan Mountain",2018-08-04,NA,36
"Garinger High School",2018-08-04,25,40
"Hattie Avenue",2018-08-04,23,34
"Leggett",2018-08-04,43,26
"Linville Falls",2018-08-04,NA,23
"Mendenhall School",2018-08-04,21,39
"Millbrook School",2018-08-04,29.5,31
"Pitt Agri. Center",2018-08-04,19,23
"West Johnston Co.",2018-08-04,23,24
"Bryson City",2018-08-05,25,29
"Castle Hayne",2018-08-05,0,25
"Clemmons Middle",2018-08-05,29,41
"Durham Armory",2018-08-05,40,41
"Frying Pan Mountain",2018-08-05,NA,41
"Garinger High School",2018-08-05,27,39
"Hattie Avenue",2018-08-05,25,42
"Leggett",2018-08-05,24,28
"Linville Falls",2018-08-05,NA,22
"Mendenhall School",2018-08-05,21,42
"Millbrook School",2018-08-05,35.5,38
"Pitt Agri. Center",2018-08-05,28,31
"West Johnston Co.",2018-08-05,33,33
"Bryson City",2018-08-06,27,24
"Castle Hayne",2018-08-06,15,31
"Clemmons Middle",2018-08-06,37,39
"Durham Armory",2018-08-06,42,44
"Frying Pan Mountain",2018-08-06,20,31
"Garinger High School",2018-08-06,28,47
"Hattie Avenue",2018-08-06,34.3333333333333,43
"Leggett",2018-08-06,35,31
"Linville Falls",2018-08-06,21,25
"Mendenhall School",2018-08-06,36,44
"Millbrook School",2018-08-06,44,48
"Pitt Agri. Center",2018-08-06,35.5,37
"West Johnston Co.",2018-08-06,56,40
"Bryson City",2018-08-07,27,26
"Castle Hayne",2018-08-07,15,33
"Clemmons Middle",2018-08-07,32,40
"Durham Armory",2018-08-07,35,40
"Frying Pan Mountain",2018-08-07,NA,32
"Garinger High School",2018-08-07,26,43
"Hattie Avenue",2018-08-07,28,37
"Leggett",2018-08-07,41,44
"Linville Falls",2018-08-07,NA,28
"Mendenhall School",2018-08-07,30,44
"Millbrook School",2018-08-07,39,43
"Pitt Agri. Center",2018-08-07,45,45
"West Johnston Co.",2018-08-07,39,37
"Bryson City",2018-08-08,27,26
"Castle Hayne",2018-08-08,18,39
"Clemmons Middle",2018-08-08,25,32
"Durham Armory",2018-08-08,28,42
"Frying Pan Mountain",2018-08-08,NA,40
"Garinger High School",2018-08-08,25,41
"Hattie Avenue",2018-08-08,23,32
"Leggett",2018-08-08,30,41
"Linville Falls",2018-08-08,NA,25
"Mendenhall School",2018-08-08,20,39
"Millbrook School",2018-08-08,27.5,42
"Pitt Agri. Center",2018-08-08,43,43
"West Johnston Co.",2018-08-08,30,38
"Bryson City",2018-08-09,18,32
"Castle Hayne",2018-08-09,15,36
"Clemmons Middle",2018-08-09,40,43
"Durham Armory",2018-08-09,36.5,39
"Frying Pan Mountain",2018-08-09,18,43
"Garinger High School",2018-08-09,24.5,44
"Hattie Avenue",2018-08-09,32.5,42
"Leggett",2018-08-09,30,37
"Linville Falls",2018-08-09,21,37
"Mendenhall School",2018-08-09,33,45
"Millbrook School",2018-08-09,38,44
"Pitt Agri. Center",2018-08-09,29.5,43
"West Johnston Co.",2018-08-09,35,45
"Bryson City",2018-08-10,19,28
"Castle Hayne",2018-08-10,32,48
"Clemmons Middle",2018-08-10,52,58
"Durham Armory",2018-08-10,52,47
"Frying Pan Mountain",2018-08-10,NA,37
"Garinger High School",2018-08-10,36,54
"Hattie Avenue",2018-08-10,46,58
"Leggett",2018-08-10,46,44
"Linville Falls",2018-08-10,NA,35
"Mendenhall School",2018-08-10,36,50
"Millbrook School",2018-08-10,54,67
"Pitt Agri. Center",2018-08-10,52,49
"West Johnston Co.",2018-08-10,50,48
"Bryson City",2018-08-11,24,31
"Castle Hayne",2018-08-11,21,33
"Clemmons Middle",2018-08-11,34,35
"Durham Armory",2018-08-11,48,40
"Frying Pan Mountain",2018-08-11,NA,40
"Garinger High School",2018-08-11,26,44
"Hattie Avenue",2018-08-11,33,39
"Leggett",2018-08-11,33,39
"Linville Falls",2018-08-11,NA,27
"Mendenhall School",2018-08-11,30,45
"Millbrook School",2018-08-11,48,44
"Pitt Agri. Center",2018-08-11,46,37
"West Johnston Co.",2018-08-11,44,37
"Bryson City",2018-08-12,41,36
"Castle Hayne",2018-08-12,23,36
"Clemmons Middle",2018-08-12,41,33
"Durham Armory",2018-08-12,35.5,42
"Frying Pan Mountain",2018-08-12,35,41
"Garinger High School",2018-08-12,27,44
"Hattie Avenue",2018-08-12,32.6666666666667,39
"Leggett",2018-08-12,24,33
"Linville Falls",2018-08-12,35,32
"Mendenhall School",2018-08-12,24,43
"Millbrook School",2018-08-12,34.6666666666667,41
"Pitt Agri. Center",2018-08-12,31,38
"West Johnston Co.",2018-08-12,33,31
"Bryson City",2018-08-13,45,31
"Castle Hayne",2018-08-13,15,35
"Clemmons Middle",2018-08-13,42,40
"Durham Armory",2018-08-13,39,39
"Frying Pan Mountain",2018-08-13,NA,41
"Garinger High School",2018-08-13,30,54
"Hattie Avenue",2018-08-13,38,43
"Leggett",2018-08-13,21,36
"Linville Falls",2018-08-13,NA,33
"Mendenhall School",2018-08-13,32,48
"Millbrook School",2018-08-13,39,44
"Pitt Agri. Center",2018-08-13,25,38
"West Johnston Co.",2018-08-13,26,33
"Bryson City",2018-08-14,47,34
"Castle Hayne",2018-08-14,47,40
"Clemmons Middle",2018-08-14,52,41
"Durham Armory",2018-08-14,41,41
"Frying Pan Mountain",2018-08-14,NA,45
"Garinger High School",2018-08-14,50,50
"Hattie Avenue",2018-08-14,44,40
"Leggett",2018-08-14,NA,33
"Linville Falls",2018-08-14,NA,31
"Mendenhall School",2018-08-14,37,44
"Millbrook School",2018-08-14,45,38
"Pitt Agri. Center",2018-08-14,44,37
"West Johnston Co.",2018-08-14,NA,32
"Bryson City",2018-08-15,54,28
"Castle Hayne",2018-08-15,28,41
"Clemmons Middle",2018-08-15,54,45
"Durham Armory",2018-08-15,49.5,42
"Frying Pan Mountain",2018-08-15,49,37
"Garinger High School",2018-08-15,57,84
"Hattie Avenue",2018-08-15,48.5,49
"Leggett",2018-08-15,NA,43
"Linville Falls",2018-08-15,43,39
"Mendenhall School",2018-08-15,48,58
"Millbrook School",2018-08-15,53.6666666666667,50
"Pitt Agri. Center",2018-08-15,53,46
"West Johnston Co.",2018-08-15,NA,44
"Bryson City",2018-08-16,59,37
"Castle Hayne",2018-08-16,27,34
"Clemmons Middle",2018-08-16,63,54
"Durham Armory",2018-08-16,NA,50
"Frying Pan Mountain",2018-08-16,NA,44
"Garinger High School",2018-08-16,59,44
"Hattie Avenue",2018-08-16,59,58
"Leggett",2018-08-16,54,43
"Linville Falls",2018-08-16,NA,31
"Mendenhall School",2018-08-16,58,61
"Millbrook School",2018-08-16,61.5,61
"Pitt Agri. Center",2018-08-16,57,44
"West Johnston Co.",2018-08-16,NA,44
"Bryson City",2018-08-17,54,28
"Castle Hayne",2018-08-17,15,30
"Clemmons Middle",2018-08-17,52,41
"Durham Armory",2018-08-17,59,35
"Frying Pan Mountain",2018-08-17,NA,34
"Garinger High School",2018-08-17,31,28
"Hattie Avenue",2018-08-17,47,40
"Leggett",2018-08-17,52,33
"Linville Falls",2018-08-17,NA,38
"Mendenhall School",2018-08-17,44,47
"Millbrook School",2018-08-17,53,32
"Pitt Agri. Center",2018-08-17,45,32
"West Johnston Co.",2018-08-17,NA,27
"Bryson City",2018-08-18,31,27
"Castle Hayne",2018-08-18,11,28
"Clemmons Middle",2018-08-18,30,31
"Durham Armory",2018-08-18,31,26
"Frying Pan Mountain",2018-08-18,16,39
"Garinger High School",2018-08-18,20.5,29
"Hattie Avenue",2018-08-18,28.5,29
"Leggett",2018-08-18,33,29
"Linville Falls",2018-08-18,25,26
"Mendenhall School",2018-08-18,26,30
"Millbrook School",2018-08-18,30,29
"Pitt Agri. Center",2018-08-18,24,32
"West Johnston Co.",2018-08-18,28,27
"Bryson City",2018-08-19,24,30
"Castle Hayne",2018-08-19,10,22
"Clemmons Middle",2018-08-19,28,35
"Durham Armory",2018-08-19,36,35
"Frying Pan Mountain",2018-08-19,NA,36
"Garinger High School",2018-08-19,29,32
"Hattie Avenue",2018-08-19,26,34
"Leggett",2018-08-19,23,27
"Linville Falls",2018-08-19,NA,32
"Mendenhall School",2018-08-19,25,33
"Millbrook School",2018-08-19,35,33
"Pitt Agri. Center",2018-08-19,26,30
"West Johnston Co.",2018-08-19,31,26
"Bryson City",2018-08-20,29,31
"Castle Hayne",2018-08-20,11,33
"Clemmons Middle",2018-08-20,35,39
"Durham Armory",2018-08-20,35,40
"Frying Pan Mountain",2018-08-20,NA,34
"Garinger High School",2018-08-20,32,34
"Hattie Avenue",2018-08-20,30,39
"Leggett",2018-08-20,31,38
"Linville Falls",2018-08-20,NA,30
"Mendenhall School",2018-08-20,15,33
"Millbrook School",2018-08-20,33,44
"Pitt Agri. Center",2018-08-20,24,37
"West Johnston Co.",2018-08-20,29,32
"Bryson City",2018-08-21,52,31
"Castle Hayne",2018-08-21,13,28
"Clemmons Middle",2018-08-21,33,25
"Durham Armory",2018-08-21,31.5,27
"Frying Pan Mountain",2018-08-21,30,40
"Garinger High School",2018-08-21,26.5,26
"Hattie Avenue",2018-08-21,28,25
"Leggett",2018-08-21,28,27
"Linville Falls",2018-08-21,20,28
"Mendenhall School",2018-08-21,27,32
"Millbrook School",2018-08-21,30.6666666666667,29
"Pitt Agri. Center",2018-08-21,28.5,26
"West Johnston Co.",2018-08-21,29,27
"Bryson City",2018-08-22,37,34
"Castle Hayne",2018-08-22,22,34
"Clemmons Middle",2018-08-22,32,34
"Durham Armory",2018-08-22,33,40
"Frying Pan Mountain",2018-08-22,NA,40
"Garinger High School",2018-08-22,23,37
"Hattie Avenue",2018-08-22,30,33
"Leggett",2018-08-22,22,36
"Linville Falls",2018-08-22,NA,29
"Mendenhall School",2018-08-22,24,35
"Millbrook School",2018-08-22,33,37
"Pitt Agri. Center",2018-08-22,30,37
"West Johnston Co.",2018-08-22,29,34
"Bryson City",2018-08-23,53,40
"Castle Hayne",2018-08-23,38,40
"Clemmons Middle",2018-08-23,55,42
"Durham Armory",2018-08-23,54,36
"Frying Pan Mountain",2018-08-23,NA,43
"Garinger High School",2018-08-23,52,54
"Hattie Avenue",2018-08-23,50,42
"Leggett",2018-08-23,46,36
"Linville Falls",2018-08-23,NA,34
"Mendenhall School",2018-08-23,36,39
"Millbrook School",2018-08-23,56,40
"Pitt Agri. Center",2018-08-23,43,39
"West Johnston Co.",2018-08-23,47,39
"Bryson City",2018-08-24,39,36
"Castle Hayne",2018-08-24,28,44
"Clemmons Middle",2018-08-24,34,58
"Durham Armory",2018-08-24,37.5,43
"Frying Pan Mountain",2018-08-24,NA,42
"Garinger High School",2018-08-24,33,44
"Hattie Avenue",2018-08-24,24.6666666666667,49
"Leggett",2018-08-24,25,38
"Linville Falls",2018-08-24,21,33
"Mendenhall School",2018-08-24,23,44
"Millbrook School",2018-08-24,40.3333333333333,44
"Pitt Agri. Center",2018-08-24,33.5,42
"West Johnston Co.",2018-08-24,33,42
"Bryson City",2018-08-25,NA,36
"Castle Hayne",2018-08-25,16,35
"Clemmons Middle",2018-08-25,43,44
"Durham Armory",2018-08-25,40,41
"Frying Pan Mountain",2018-08-25,NA,44
"Garinger High School",2018-08-25,46,74
"Hattie Avenue",2018-08-25,36,51
"Leggett",2018-08-25,26,36
"Linville Falls",2018-08-25,NA,38
"Mendenhall School",2018-08-25,32,48
"Millbrook School",2018-08-25,40,42
"Pitt Agri. Center",2018-08-25,35,39
"West Johnston Co.",2018-08-25,31,40
"Bryson City",2018-08-26,NA,33
"Castle Hayne",2018-08-26,20,38
"Clemmons Middle",2018-08-26,52,46
"Durham Armory",2018-08-26,52,40
"Frying Pan Mountain",2018-08-26,NA,43
"Garinger High School",2018-08-26,53,64
"Hattie Avenue",2018-08-26,45,47
"Leggett",2018-08-26,39,43
"Linville Falls",2018-08-26,NA,36
"Mendenhall School",2018-08-26,45,49
"Millbrook School",2018-08-26,54,46
"Pitt Agri. Center",2018-08-26,42,44
"West Johnston Co.",2018-08-26,51,40
"Bryson City",2018-08-27,NA,30
"Castle Hayne",2018-08-27,9,34
"Clemmons Middle",2018-08-27,58,46
"Durham Armory",2018-08-27,54.5,43
"Frying Pan Mountain",2018-08-27,41,43
"Garinger High School",2018-08-27,55.5,74
"Hattie Avenue",2018-08-27,54.5,44
"Leggett",2018-08-27,54,43
"Linville Falls",2018-08-27,45,38
"Mendenhall School",2018-08-27,57,54
"Millbrook School",2018-08-27,59,47
"Pitt Agri. Center",2018-08-27,44,44
"West Johnston Co.",2018-08-27,54,41
"Bryson City",2018-08-28,NA,36
"Castle Hayne",2018-08-28,1,21
"Clemmons Middle",2018-08-28,60,49
"Durham Armory",2018-08-28,63,48
"Frying Pan Mountain",2018-08-28,NA,43
"Garinger High School",2018-08-28,53,71
"Hattie Avenue",2018-08-28,56,51
"Leggett",2018-08-28,43,38
"Linville Falls",2018-08-28,NA,27
"Mendenhall School",2018-08-28,55,64
"Millbrook School",2018-08-28,55,46
"Pitt Agri. Center",2018-08-28,31,38
"West Johnston Co.",2018-08-28,46,40
"Bryson City",2018-08-29,43,39
"Castle Hayne",2018-08-29,0,27
"Clemmons Middle",2018-08-29,53,48
"Durham Armory",2018-08-29,49,40
"Frying Pan Mountain",2018-08-29,NA,38
"Garinger High School",2018-08-29,43,74
"Hattie Avenue",2018-08-29,45,50
"Leggett",2018-08-29,25,32
"Linville Falls",2018-08-29,NA,31
"Mendenhall School",2018-08-29,52,58
"Millbrook School",2018-08-29,44,40
"Pitt Agri. Center",2018-08-29,17,33
"West Johnston Co.",2018-08-29,31,36
"Bryson City",2018-08-30,30,29
"Castle Hayne",2018-08-30,1,31
"Clemmons Middle",2018-08-30,54,49
"Durham Armory",2018-08-30,46,45
"Frying Pan Mountain",2018-08-30,26,38
"Garinger High School",2018-08-30,34.5,51
"Hattie Avenue",2018-08-30,50.6666666666667,64
"Leggett",2018-08-30,39,44
"Linville Falls",2018-08-30,27,25
"Mendenhall School",2018-08-30,49,NA
"Millbrook School",2018-08-30,46,47
"Pitt Agri. Center",2018-08-30,32.5,42
"West Johnston Co.",2018-08-30,39,39
"Bryson City",2018-08-31,21,27
"Castle Hayne",2018-08-31,5,30
"Clemmons Middle",2018-08-31,29,46
"Durham Armory",2018-08-31,40,100
"Frying Pan Mountain",2018-08-31,NA,44
"Garinger High School",2018-08-31,30,48
"Hattie Avenue",2018-08-31,27,58
"Leggett",2018-08-31,32,37
"Linville Falls",2018-08-31,NA,32
"Mendenhall School",2018-08-31,25,67
"Millbrook School",2018-08-31,35,74
"Pitt Agri. Center",2018-08-31,43,37
"West Johnston Co.",2018-08-31,35,41
"Bryson City",2018-09-01,29,29
"Castle Hayne",2018-09-01,3,19
"Clemmons Middle",2018-09-01,31,42
"Durham Armory",2018-09-01,49,35
"Frying Pan Mountain",2018-09-01,NA,36
"Garinger High School",2018-09-01,35,41
"Hattie Avenue",2018-09-01,27,44
"Leggett",2018-09-01,29,30
"Linville Falls",2018-09-01,NA,36
"Mendenhall School",2018-09-01,26,42
"Millbrook School",2018-09-01,37.5,33
"Pitt Agri. Center",2018-09-01,22,29
"West Johnston Co.",2018-09-01,31,30
"Bryson City",2018-09-02,28,24
"Castle Hayne",2018-09-02,0,16
"Clemmons Middle",2018-09-02,33,31
"Durham Armory",2018-09-02,31.5,25
"Frying Pan Mountain",2018-09-02,15,31
"Garinger High School",2018-09-02,28.5,28
"Hattie Avenue",2018-09-02,27.5,33
"Leggett",2018-09-02,21,24
"Linville Falls",2018-09-02,24,24
"Mendenhall School",2018-09-02,32,32
"Millbrook School",2018-09-02,32.6666666666667,24
"Pitt Agri. Center",2018-09-02,18.5,23
"West Johnston Co.",2018-09-02,24,22
"Bryson City",2018-09-03,18,25
"Castle Hayne",2018-09-03,0,22
"Clemmons Middle",2018-09-03,33,39
"Durham Armory",2018-09-03,34,33
"Frying Pan Mountain",2018-09-03,NA,32
"Garinger High School",2018-09-03,23,30
"Hattie Avenue",2018-09-03,29,45
"Leggett",2018-09-03,24,27
"Linville Falls",2018-09-03,NA,28
"Mendenhall School",2018-09-03,NA,37
"Millbrook School",2018-09-03,34,30
"Pitt Agri. Center",2018-09-03,25,27
"West Johnston Co.",2018-09-03,30,26
"Bryson City",2018-09-04,22,28
"Castle Hayne",2018-09-04,0,30
"Clemmons Middle",2018-09-04,38,45
"Durham Armory",2018-09-04,47,33
"Frying Pan Mountain",2018-09-04,NA,32
"Garinger High School",2018-09-04,32,34
"Hattie Avenue",2018-09-04,32,43
"Leggett",2018-09-04,34,31
"Linville Falls",2018-09-04,NA,32
"Mendenhall School",2018-09-04,NA,37
"Millbrook School",2018-09-04,44.5,29
"Pitt Agri. Center",2018-09-04,30,32
"West Johnston Co.",2018-09-04,37,31
"Bryson City",2018-09-05,31,25
"Castle Hayne",2018-09-05,4,29
"Clemmons Middle",2018-09-05,47,45
"Durham Armory",2018-09-05,37.5,37
"Frying Pan Mountain",2018-09-05,20,41
"Garinger High School",2018-09-05,43,37
"Hattie Avenue",2018-09-05,42,44
"Leggett",2018-09-05,27,30
"Linville Falls",2018-09-05,29,36
"Mendenhall School",2018-09-05,33,40
"Millbrook School",2018-09-05,38.3333333333333,33
"Pitt Agri. Center",2018-09-05,25,31
"West Johnston Co.",2018-09-05,33,33
"Bryson City",2018-09-06,30,26
"Castle Hayne",2018-09-06,0,29
"Clemmons Middle",2018-09-06,42,38
"Durham Armory",2018-09-06,35,40
"Frying Pan Mountain",2018-09-06,NA,40
"Garinger High School",2018-09-06,29,41
"Hattie Avenue",2018-09-06,37,43
"Leggett",2018-09-06,24,33
"Linville Falls",2018-09-06,NA,31
"Mendenhall School",2018-09-06,35,47
"Millbrook School",2018-09-06,34.5,40
"Pitt Agri. Center",2018-09-06,27,34
"West Johnston Co.",2018-09-06,31,36
"Bryson City",2018-09-07,26,30
"Castle Hayne",2018-09-07,8,28
"Clemmons Middle",2018-09-07,46,51
"Durham Armory",2018-09-07,NA,41
"Frying Pan Mountain",2018-09-07,NA,43
"Garinger High School",2018-09-07,33,46
"Hattie Avenue",2018-09-07,40,54
"Leggett",2018-09-07,32,35
"Linville Falls",2018-09-07,NA,28
"Mendenhall School",2018-09-07,39,41
"Millbrook School",2018-09-07,41.5,40
"Pitt Agri. Center",2018-09-07,38,39
"West Johnston Co.",2018-09-07,39,37
"Bryson City",2018-09-08,28,28
"Castle Hayne",2018-09-08,1,25
"Clemmons Middle",2018-09-08,51,45
"Durham Armory",2018-09-08,44.5,39
"Frying Pan Mountain",2018-09-08,27,32
"Garinger High School",2018-09-08,33.5,39
"Hattie Avenue",2018-09-08,42,40
"Leggett",2018-09-08,35,36
"Linville Falls",2018-09-08,32,38
"Mendenhall School",2018-09-08,42,36
"Millbrook School",2018-09-08,42,43
"Pitt Agri. Center",2018-09-08,29.5,34
"West Johnston Co.",2018-09-08,37,32
"Bryson City",2018-09-09,21,24
"Castle Hayne",2018-09-09,0,20
"Clemmons Middle",2018-09-09,20,17
"Durham Armory",2018-09-09,29,9
"Frying Pan Mountain",2018-09-09,NA,29
"Garinger High School",2018-09-09,21,29
"Hattie Avenue",2018-09-09,14,16
"Leggett",2018-09-09,25,22
"Linville Falls",2018-09-09,NA,27
"Mendenhall School",2018-09-09,10,13
"Millbrook School",2018-09-09,34.5,19
"Pitt Agri. Center",2018-09-09,25,24
"West Johnston Co.",2018-09-09,33,22
"Bryson City",2018-09-10,18,17
"Castle Hayne",2018-09-10,NA,22
"Clemmons Middle",2018-09-10,26,16
"Durham Armory",2018-09-10,30,29
