"Site.Name","Date","PM2.5","Ozone"
"Leggett",2018-01-12,8,NA
"Mendenhall School",2018-01-12,15,NA
"Millbrook School",2018-01-12,0,35
"Pitt Agri. Center",2018-01-12,12,NA
"West Johnston Co.",2018-01-12,13,NA
"Bryson City",2018-01-13,18,NA
"Castle Hayne",2018-01-13,10,NA
"Clemmons Middle",2018-01-13,10,NA
"Durham Armory",2018-01-13,20,NA
"Garinger High School",2018-01-13,15,32
"Hattie Avenue",2018-01-13,10,NA
"Leggett",2018-01-13,0,NA
"Mendenhall School",2018-01-13,12,NA
"Millbrook School",2018-01-13,24,32
"Pitt Agri. Center",2018-01-13,3,NA
"West Johnston Co.",2018-01-13,8,NA
"Bryson City",2018-01-14,28,NA
"Castle Hayne",2018-01-14,10,NA
"Clemmons Middle",2018-01-14,25,NA
"Durham Armory",2018-01-14,20,NA
"Frying Pan Mountain",2018-01-14,6,NA
"Garinger High School",2018-01-14,26.5,31
"Hattie Avenue",2018-01-14,20.3333333333333,NA
"Leggett",2018-01-14,10,NA
"Linville Falls",2018-01-14,10,NA
"Mendenhall School",2018-01-14,22,NA
"Millbrook School",2018-01-14,19.5,NA
"Pitt Agri. Center",2018-01-14,15.5,NA
"West Johnston Co.",2018-01-14,15,NA
"Bryson City",2018-01-15,43,NA
"Castle Hayne",2018-01-15,21,NA
"Clemmons Middle",2018-01-15,30,NA
"Durham Armory",2018-01-15,44,NA
"Garinger High School",2018-01-15,43,27
"Hattie Avenue",2018-01-15,30,NA
"Leggett",2018-01-15,24,NA
"Mendenhall School",2018-01-15,40,NA
"Millbrook School",2018-01-15,35,NA
"Pitt Agri. Center",2018-01-15,30,NA
"West Johnston Co.",2018-01-15,35,NA
"Bryson City",2018-01-16,52,NA
"Castle Hayne",2018-01-16,20,NA
"Clemmons Middle",2018-01-16,69,NA
"Durham Armory",2018-01-16,60,NA
"Garinger High School",2018-01-16,61,28
"Hattie Avenue",2018-01-16,68,NA
"Leggett",2018-01-16,29,NA
"Mendenhall School",2018-01-16,70,NA
"Millbrook School",2018-01-16,58,24
"Pitt Agri. Center",2018-01-16,37,NA
"West Johnston Co.",2018-01-16,53,NA
"Bryson City",2018-01-17,37,NA
"Castle Hayne",2018-01-17,24,NA
"Clemmons Middle",2018-01-17,55,NA
"Durham Armory",2018-01-17,54.5,NA
"Frying Pan Mountain",2018-01-17,15,NA
"Garinger High School",2018-01-17,40.5,28
"Hattie Avenue",2018-01-17,47.5,NA
"Leggett",2018-01-17,38,NA
"Linville Falls",2018-01-17,19,NA
"Mendenhall School",2018-01-17,51,NA
"Millbrook School",2018-01-17,56,29
"Pitt Agri. Center",2018-01-17,48.5,NA
"West Johnston Co.",2018-01-17,66,NA
"Bryson City",2018-01-18,48,NA
"Castle Hayne",2018-01-18,30,NA
"Clemmons Middle",2018-01-18,40,NA
"Durham Armory",2018-01-18,45,NA
"Garinger High School",2018-01-18,40,31
"Hattie Avenue",2018-01-18,35,NA
"Leggett",2018-01-18,31,NA
"Mendenhall School",2018-01-18,34,NA
"Millbrook School",2018-01-18,54,35
"Pitt Agri. Center",2018-01-18,38,NA
"West Johnston Co.",2018-01-18,50,NA
"Bryson City",2018-01-19,52,NA
"Clemmons Middle",2018-01-19,54,NA
"Durham Armory",2018-01-19,57,NA
"Garinger High School",2018-01-19,49,22
"Hattie Avenue",2018-01-19,43,NA
"Leggett",2018-01-19,25,NA
"Mendenhall School",2018-01-19,37,NA
"Millbrook School",2018-01-19,55,32
"Pitt Agri. Center",2018-01-19,34,NA
"West Johnston Co.",2018-01-19,42,NA
"Bryson City",2018-01-20,51,NA
"Castle Hayne",2018-01-20,21,NA
"Clemmons Middle",2018-01-20,63,NA
"Durham Armory",2018-01-20,45,NA
