"Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-03-26,"AQS",370030005,1,0.048,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-03-27,"AQS",370030005,1,0.038,"ppm",35,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-03-28,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-03-29,"AQS",370030005,1,0.052,"ppm",48,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-03-30,"AQS",370030005,1,0.045,"ppm",42,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-03-31,"AQS",370030005,1,0.052,"ppm",48,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-01,"AQS",370030005,1,0.051,"ppm",47,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-02,"AQS",370030005,1,0.055,"ppm",51,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-03,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-04,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-05,"AQS",370030005,1,0.052,"ppm",48,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-06,"AQS",370030005,1,0.056,"ppm",54,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-07,"AQS",370030005,1,0.043,"ppm",40,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-08,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-09,"AQS",370030005,1,0.036,"ppm",33,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-10,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-11,"AQS",370030005,1,0.048,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-12,"AQS",370030005,1,0.057,"ppm",58,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-13,"AQS",370030005,1,0.063,"ppm",77,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-14,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
